YEAR,REGION,STRAT,PROT,PRIMARY_SAMPLE_UNIT,CRY ROSE,SCA GUAC,SCA ISER,SCA TAEN,SCA VETU,SPA ATOM,SPA AURO,SPA CHRY,SPA RADI,SPA RUBR,SPA VIRI
2021,STTSTJ,AGRF_DEEP,0,5021,0,0,11,8.5,0,0,8.5,0,0,0,7
2021,STTSTJ,AGRF_DEEP,0,5030,0,0,16,16.5,0.5,0,6,0.5,0,0,4
2021,STTSTJ,AGRF_DEEP,0,5035,0,0,8,25.5,1,0.5,12,0,0,0,0.5
2021,STTSTJ,AGRF_DEEP,0,5056,0,0,2,8,0,0.5,3.5,0,5.5,0,0
2021,STTSTJ,AGRF_DEEP,0,5095,0,0,4,3,0,1.5,1.5,0,0,0,1.5
2021,STTSTJ,AGRF_DEEP,0,5121,0,0,21,0,0,0,12.5,0,0,0,5
2021,STTSTJ,AGRF_DEEP,0,5123,0,0,7.5,2,0,0,3,1,0,0,0.5
2021,STTSTJ,AGRF_DEEP,0,5137,0,0,12.5,0.5,1,0,1,0,0,0,0.5
2021,STTSTJ,AGRF_DEEP,0,5157,0,0,0.5,1,0.5,0,0,0.5,0,0,1
2021,STTSTJ,AGRF_DEEP,0,5162,0,0,24,0,0,0.5,21.5,0,0,0,5
2021,STTSTJ,AGRF_DEEP,0,5164,2.5,0,26,0,0,6,5,0,0,0.5,2.5
2021,STTSTJ,AGRF_DEEP,0,5194,0,0,5,0,0,7,8,0,0,0,4
2021,STTSTJ,AGRF_DEEP,0,5237,0,0,10,0,0,0,1,0.5,0.5,0,1.5
2021,STTSTJ,AGRF_DEEP,0,5316,0,0,3.5,1,0,0,0.5,0,0,0,0
2021,STTSTJ,AGRF_DEEP,0,5343,0,0,8.5,1,0,0,0.5,0,0,0,12
2021,STTSTJ,AGRF_DEEP,0,5346,0,0,33,2.5,1,0,7.5,0,0,0,6.5
2021,STTSTJ,AGRF_DEEP,0,5349,0,0,9,1,0,0,6,0,0,0,1
2021,STTSTJ,AGRF_DEEP,0,5358,0,0,18.5,0.5,0.5,0,0,0,0,0,1.5
